tre:TRIREDRAFT_102382	ko:K01069
tre:TRIREDRAFT_120968	ko:K04569
tre:TRIREDRAFT_120978	ko:K02915
tre:TRIREDRAFT_120983	ko:K00761
tre:TRIREDRAFT_120994	ko:K09495
tre:TRIREDRAFT_120998	ko:K13289
tre:TRIREDRAFT_121000	ko:K01867
tre:TRIREDRAFT_121003	ko:K02964
tre:TRIREDRAFT_121009	ko:K02737
tre:TRIREDRAFT_121019	ko:K00234
tre:TRIREDRAFT_121023	ko:K03242
tre:TRIREDRAFT_121028	ko:K06630
tre:TRIREDRAFT_121031	ko:K01873
tre:TRIREDRAFT_121048	ko:K10688
tre:TRIREDRAFT_121051	ko:K01892
tre:TRIREDRAFT_121061	ko:K06641
tre:TRIREDRAFT_121068	ko:K17497
tre:TRIREDRAFT_121073	ko:K12821
tre:TRIREDRAFT_121080	ko:K08065
tre:TRIREDRAFT_121095	ko:K24940
tre:TRIREDRAFT_121127	ko:K15920
tre:TRIREDRAFT_121139	ko:K03293
tre:TRIREDRAFT_121143	ko:K01889
tre:TRIREDRAFT_121154	ko:K01426
tre:TRIREDRAFT_121156	ko:K00276
tre:TRIREDRAFT_121158	ko:K08832
tre:TRIREDRAFT_121166	ko:K00559
tre:TRIREDRAFT_121169	ko:K12197
tre:TRIREDRAFT_121171	ko:K10998
tre:TRIREDRAFT_121191	ko:K00621
tre:TRIREDRAFT_121206	ko:K03372
tre:TRIREDRAFT_121219	ko:K02867
tre:TRIREDRAFT_121223	ko:K07901
tre:TRIREDRAFT_121227	ko:K00729
tre:TRIREDRAFT_121230	ko:K00511
tre:TRIREDRAFT_121238	ko:K11843
tre:TRIREDRAFT_121240	ko:K22315
tre:TRIREDRAFT_121247	ko:K21842
tre:TRIREDRAFT_121248	ko:K07556
tre:TRIREDRAFT_121255	ko:K01720
tre:TRIREDRAFT_121262	ko:K17665
tre:TRIREDRAFT_121275	ko:K02266
tre:TRIREDRAFT_121276	ko:K20040
tre:TRIREDRAFT_121278	ko:K02889
tre:TRIREDRAFT_121297	ko:K13120
tre:TRIREDRAFT_121298	ko:K00122
tre:TRIREDRAFT_121325	ko:K22762
tre:TRIREDRAFT_121338	ko:K11376
tre:TRIREDRAFT_121343	ko:K02725
tre:TRIREDRAFT_121345	ko:K00831
tre:TRIREDRAFT_121349	ko:K20168
tre:TRIREDRAFT_121351	ko:K05546
tre:TRIREDRAFT_121362	ko:K05019
tre:TRIREDRAFT_121363	ko:K18723
tre:TRIREDRAFT_121367	ko:K02145
tre:TRIREDRAFT_121372	ko:K02923
tre:TRIREDRAFT_121374	ko:K00869
tre:TRIREDRAFT_121381	ko:K15083
tre:TRIREDRAFT_121397	ko:K10956
tre:TRIREDRAFT_121405	ko:K13524
tre:TRIREDRAFT_121408	ko:K02899
tre:TRIREDRAFT_121411	ko:K16833
tre:TRIREDRAFT_121420	ko:K01885
tre:TRIREDRAFT_121436	ko:K03217
tre:TRIREDRAFT_121445	ko:K12795
tre:TRIREDRAFT_121449	ko:K01693
tre:TRIREDRAFT_121464	ko:K02437
tre:TRIREDRAFT_121468	ko:K11086
tre:TRIREDRAFT_121469	ko:K02926
tre:TRIREDRAFT_121491	ko:K22248
tre:TRIREDRAFT_121495	ko:K01336
tre:TRIREDRAFT_121498	ko:K01613
tre:TRIREDRAFT_121504	ko:K05289
tre:TRIREDRAFT_121506	ko:K10875
tre:TRIREDRAFT_121516	ko:K11252
tre:TRIREDRAFT_121522	ko:K11251
tre:TRIREDRAFT_121529	ko:K15113
tre:TRIREDRAFT_121533	ko:K18587
tre:TRIREDRAFT_121534	ko:K01568
tre:TRIREDRAFT_121539	ko:K04371
tre:TRIREDRAFT_121544	ko:K00670
tre:TRIREDRAFT_121546	ko:K00679
tre:TRIREDRAFT_121550	ko:K17103
tre:TRIREDRAFT_121569	ko:K03240
tre:TRIREDRAFT_121573	ko:K02684
tre:TRIREDRAFT_121582	ko:K02967
tre:TRIREDRAFT_121588	ko:K12392
tre:TRIREDRAFT_121606	ko:K11493
tre:TRIREDRAFT_121608	ko:K08192
tre:TRIREDRAFT_121610	ko:K07203
tre:TRIREDRAFT_121620	ko:K18278
tre:TRIREDRAFT_121652	ko:K20184
tre:TRIREDRAFT_121654	ko:K14557
tre:TRIREDRAFT_121656	ko:K18716
tre:TRIREDRAFT_121661	ko:K01785
tre:TRIREDRAFT_121664	ko:K01580
tre:TRIREDRAFT_121684	ko:K08794
tre:TRIREDRAFT_121686	ko:K00600
tre:TRIREDRAFT_121706	ko:K01626
tre:TRIREDRAFT_121725	ko:K12839
tre:TRIREDRAFT_121733	ko:K00222
tre:TRIREDRAFT_121735	ko:K05349
tre:TRIREDRAFT_121741	ko:K02993
tre:TRIREDRAFT_121743	ko:K15100
tre:TRIREDRAFT_121746	ko:K01210
tre:TRIREDRAFT_121754	ko:K09540
tre:TRIREDRAFT_121757	ko:K09191
tre:TRIREDRAFT_121766	ko:K13199
tre:TRIREDRAFT_121786	ko:K26109
tre:TRIREDRAFT_121789	ko:K01803
tre:TRIREDRAFT_121800	ko:K17286
tre:TRIREDRAFT_121801	ko:K14565
tre:TRIREDRAFT_121814	ko:K00830
tre:TRIREDRAFT_121820	ko:K00549
tre:TRIREDRAFT_121824	ko:K01648
tre:TRIREDRAFT_121826	ko:K01648
tre:TRIREDRAFT_121834	ko:K05863
tre:TRIREDRAFT_121837	ko:K02989
tre:TRIREDRAFT_121856	ko:K00457
tre:TRIREDRAFT_121870	ko:K20059
tre:TRIREDRAFT_121878	ko:K02966
tre:TRIREDRAFT_121889	ko:K23787
tre:TRIREDRAFT_121890	ko:K01412
tre:TRIREDRAFT_121901	ko:K03252
tre:TRIREDRAFT_121903	ko:K22072
tre:TRIREDRAFT_121904	ko:K02937
tre:TRIREDRAFT_121906	ko:K02955
tre:TRIREDRAFT_121920	ko:K03849
tre:TRIREDRAFT_121940	ko:K06666
tre:TRIREDRAFT_121942	ko:K15015
tre:TRIREDRAFT_121948	ko:K12946
tre:TRIREDRAFT_121950	ko:K03868
tre:TRIREDRAFT_121955	ko:K14568
tre:TRIREDRAFT_121966	ko:K05236
tre:TRIREDRAFT_121975	ko:K12471
tre:TRIREDRAFT_121977	ko:K01802
tre:TRIREDRAFT_121981	ko:K03030
tre:TRIREDRAFT_121986	ko:K08192
tre:TRIREDRAFT_122001	ko:K02894
tre:TRIREDRAFT_122015	ko:K13303
tre:TRIREDRAFT_122036	ko:K02981
tre:TRIREDRAFT_122040	ko:K02910
tre:TRIREDRAFT_122043	ko:K17686
tre:TRIREDRAFT_122048	ko:K09481
tre:TRIREDRAFT_122050	ko:K15731
tre:TRIREDRAFT_122064	ko:K10356
tre:TRIREDRAFT_122070	ko:K12816
tre:TRIREDRAFT_122071	ko:K20368
tre:TRIREDRAFT_122074	ko:K00486
tre:TRIREDRAFT_122081	ko:K19357
tre:TRIREDRAFT_122083	ko:K05994
tre:TRIREDRAFT_122091	ko:K14674
tre:TRIREDRAFT_122104	ko:K23887
tre:TRIREDRAFT_122110	ko:K01904
tre:TRIREDRAFT_122131	ko:K00573
tre:TRIREDRAFT_122141	ko:K02900
tre:TRIREDRAFT_122144	ko:K06677
tre:TRIREDRAFT_122166	ko:K09831
tre:TRIREDRAFT_122172	ko:K00698
tre:TRIREDRAFT_122175	ko:K14861
tre:TRIREDRAFT_122180	ko:K11982
tre:TRIREDRAFT_122193	ko:K08333
tre:TRIREDRAFT_122199	ko:K16944
tre:TRIREDRAFT_122208	ko:K21451
tre:TRIREDRAFT_122210	ko:K02986
tre:TRIREDRAFT_122226	ko:K01956
tre:TRIREDRAFT_122233	ko:K00052
tre:TRIREDRAFT_122240	ko:K00624
tre:TRIREDRAFT_122275	ko:K01889
tre:TRIREDRAFT_122278	ko:K11806
tre:TRIREDRAFT_122287	ko:K00264
tre:TRIREDRAFT_122296	ko:K01647
tre:TRIREDRAFT_122301	ko:K17069
tre:TRIREDRAFT_122349	ko:K11361
tre:TRIREDRAFT_122350	ko:K01580
tre:TRIREDRAFT_122378	ko:K12585
tre:TRIREDRAFT_122384	ko:K14294
tre:TRIREDRAFT_122385	ko:K00820
tre:TRIREDRAFT_122392	ko:K10755
tre:TRIREDRAFT_122396	ko:K14015
tre:TRIREDRAFT_122405	ko:K11872
tre:TRIREDRAFT_122410	ko:K19984
tre:TRIREDRAFT_122415	ko:K09580
tre:TRIREDRAFT_122419	ko:K20279
tre:TRIREDRAFT_122431	ko:K13337
tre:TRIREDRAFT_122447	ko:K10873
tre:TRIREDRAFT_122455	ko:K23879
tre:TRIREDRAFT_122457	ko:K03627
tre:TRIREDRAFT_122476	ko:K08339
tre:TRIREDRAFT_122495	ko:K08257
tre:TRIREDRAFT_122499	ko:K05307
tre:TRIREDRAFT_122529	ko:K05986
tre:TRIREDRAFT_122531	ko:K00133
tre:TRIREDRAFT_122546	ko:K12182
tre:TRIREDRAFT_122551	ko:K00966
tre:TRIREDRAFT_122552	ko:K10418
tre:TRIREDRAFT_122565	ko:K01738
tre:TRIREDRAFT_122572	ko:K03283
tre:TRIREDRAFT_122582	ko:K18123
tre:TRIREDRAFT_122584	ko:K14521
tre:TRIREDRAFT_122587	ko:K02949
tre:TRIREDRAFT_122592	ko:K21797
tre:TRIREDRAFT_122593	ko:K07888
tre:TRIREDRAFT_122641	ko:K00763
tre:TRIREDRAFT_122644	ko:K00993
tre:TRIREDRAFT_122653	ko:K00801
tre:TRIREDRAFT_122659	ko:K14548
tre:TRIREDRAFT_122680	ko:K19487
tre:TRIREDRAFT_122684	ko:K03122
tre:TRIREDRAFT_122689	ko:K24737
tre:TRIREDRAFT_122697	ko:K02919
tre:TRIREDRAFT_122701	ko:K11400
tre:TRIREDRAFT_122703	ko:K17732
tre:TRIREDRAFT_122708	ko:K20299
tre:TRIREDRAFT_122717	ko:K08770
tre:TRIREDRAFT_122735	ko:K08793
tre:TRIREDRAFT_122736	ko:K01624
tre:TRIREDRAFT_122743	ko:K10364
tre:TRIREDRAFT_122745	ko:K00167
tre:TRIREDRAFT_122774	ko:K23948
tre:TRIREDRAFT_122780	ko:K01213
tre:TRIREDRAFT_122811	ko:K01915
tre:TRIREDRAFT_122819	ko:K10734
tre:TRIREDRAFT_122820	ko:K14264
tre:TRIREDRAFT_122828	ko:K10524
tre:TRIREDRAFT_122841	ko:K19983
tre:TRIREDRAFT_122846	ko:K18995
tre:TRIREDRAFT_122857	ko:K17081
tre:TRIREDRAFT_122860	ko:K22911
tre:TRIREDRAFT_122868	ko:K00003
tre:TRIREDRAFT_122872	ko:K10704
tre:TRIREDRAFT_122882	ko:K26216
tre:TRIREDRAFT_122886	ko:K07375
tre:TRIREDRAFT_122900	ko:K27906
tre:TRIREDRAFT_122903	ko:K17788
tre:TRIREDRAFT_122909	ko:K03235
tre:TRIREDRAFT_122920	ko:K09490
tre:TRIREDRAFT_122956	ko:K02978
tre:TRIREDRAFT_122960	ko:K02433
tre:TRIREDRAFT_122963	ko:K00276
tre:TRIREDRAFT_122972	ko:K01536
tre:TRIREDRAFT_122987	ko:K00161
tre:TRIREDRAFT_122988	ko:K05665
tre:TRIREDRAFT_122993	ko:K00752
tre:TRIREDRAFT_122994	ko:K26681
tre:TRIREDRAFT_123008	ko:K01824
tre:TRIREDRAFT_123013	ko:K19801
tre:TRIREDRAFT_123026	ko:K00616
tre:TRIREDRAFT_123029	ko:K04565
tre:TRIREDRAFT_123071	ko:K02133
tre:TRIREDRAFT_123090	ko:K23114
tre:TRIREDRAFT_123111	ko:K17917
tre:TRIREDRAFT_123114	ko:K04079
tre:TRIREDRAFT_123120	ko:K08192
tre:TRIREDRAFT_123124	ko:K08286
tre:TRIREDRAFT_123145	ko:K02880
tre:TRIREDRAFT_123149	ko:K07078
tre:TRIREDRAFT_123158	ko:K08489
tre:TRIREDRAFT_123163	ko:K12391
tre:TRIREDRAFT_123164	ko:K03108
tre:TRIREDRAFT_123174	ko:K00058
tre:TRIREDRAFT_123176	ko:K02870
tre:TRIREDRAFT_123180	ko:K01875
tre:TRIREDRAFT_123183	ko:K13526
tre:TRIREDRAFT_123185	ko:K10357
tre:TRIREDRAFT_123198	ko:K00235
tre:TRIREDRAFT_123202	ko:K02943
tre:TRIREDRAFT_123220	ko:K03002
tre:TRIREDRAFT_123223	ko:K01620
tre:TRIREDRAFT_123226	ko:K01194
tre:TRIREDRAFT_123228	ko:K04646
tre:TRIREDRAFT_123232	ko:K18576
tre:TRIREDRAFT_123244	ko:K01336
tre:TRIREDRAFT_123251	ko:K05916
tre:TRIREDRAFT_123274	ko:K00128
tre:TRIREDRAFT_123283	ko:K20844
tre:TRIREDRAFT_123288	ko:K00854
tre:TRIREDRAFT_123290	ko:K12041
tre:TRIREDRAFT_123293	ko:K05658
tre:TRIREDRAFT_123302	ko:K04630
tre:TRIREDRAFT_123313	ko:K08269
tre:TRIREDRAFT_123324	ko:K03361
tre:TRIREDRAFT_123325	ko:K14715
tre:TRIREDRAFT_123344	ko:K11232
tre:TRIREDRAFT_123364	ko:K15283
tre:TRIREDRAFT_123368	ko:K00700
tre:TRIREDRAFT_123382	ko:K00228
tre:TRIREDRAFT_123408	ko:K18584
tre:TRIREDRAFT_123422	ko:K20360
tre:TRIREDRAFT_123457	ko:K01937
tre:TRIREDRAFT_123459	ko:K07241
tre:TRIREDRAFT_123468	ko:K00459
tre:TRIREDRAFT_123471	ko:K01655
tre:TRIREDRAFT_123493	ko:K10661
tre:TRIREDRAFT_123538	ko:K22836
tre:TRIREDRAFT_123541	ko:K15109
tre:TRIREDRAFT_123550	ko:K00463
tre:TRIREDRAFT_123554	ko:K18342
tre:TRIREDRAFT_123556	ko:K19850
tre:TRIREDRAFT_123559	ko:K10579
tre:TRIREDRAFT_123561	ko:K01341
tre:TRIREDRAFT_123562	ko:K17919
tre:TRIREDRAFT_123572	ko:K01062
tre:TRIREDRAFT_123577	ko:K10976
tre:TRIREDRAFT_123588	ko:K07152
tre:TRIREDRAFT_123598	ko:K14308
tre:TRIREDRAFT_123604	ko:K02959
tre:TRIREDRAFT_123611	ko:K16261
tre:TRIREDRAFT_123618	ko:K07023
tre:TRIREDRAFT_123619	ko:K11314
tre:TRIREDRAFT_123627	ko:K10251
tre:TRIREDRAFT_123631	ko:K00293
tre:TRIREDRAFT_123633	ko:K00641
tre:TRIREDRAFT_123636	ko:K11244
tre:TRIREDRAFT_123655	ko:K00915
tre:TRIREDRAFT_123659	ko:K26550
tre:TRIREDRAFT_123673	ko:K21440
tre:TRIREDRAFT_123681	ko:K06123
tre:TRIREDRAFT_123690	ko:K12877
tre:TRIREDRAFT_123695	ko:K02864
tre:TRIREDRAFT_123705	ko:K00012
tre:TRIREDRAFT_123714	ko:K01673
tre:TRIREDRAFT_123720	ko:K07513
tre:TRIREDRAFT_123729	ko:K00026
tre:TRIREDRAFT_123735	ko:K17686
tre:TRIREDRAFT_123738	ko:K01476
tre:TRIREDRAFT_123753	ko:K02977
tre:TRIREDRAFT_123758	ko:K00591
tre:TRIREDRAFT_123767	ko:K12196
tre:TRIREDRAFT_123771	ko:K00252
tre:TRIREDRAFT_123773	ko:K06689
tre:TRIREDRAFT_123795	ko:K01466
tre:TRIREDRAFT_123801	ko:K22503
tre:TRIREDRAFT_123805	ko:K01497
tre:TRIREDRAFT_123818	ko:K01181
tre:TRIREDRAFT_123820	ko:K00826
tre:TRIREDRAFT_123827	ko:K03782
tre:TRIREDRAFT_123832	ko:K14002
tre:TRIREDRAFT_123837	ko:K16575
tre:TRIREDRAFT_123850	ko:K02942
tre:TRIREDRAFT_123860	ko:K12580
tre:TRIREDRAFT_123865	ko:K01279
tre:TRIREDRAFT_123882	ko:K16572
tre:TRIREDRAFT_123884	ko:K15407
tre:TRIREDRAFT_123890	ko:K16948
tre:TRIREDRAFT_123900	ko:K02996
tre:TRIREDRAFT_123902	ko:K03233
tre:TRIREDRAFT_123922	ko:K03768
tre:TRIREDRAFT_123934	ko:K22140
tre:TRIREDRAFT_123940	ko:K25010
tre:TRIREDRAFT_123951	ko:K20724
tre:TRIREDRAFT_123965	ko:K20042
tre:TRIREDRAFT_123969	ko:K17415
tre:TRIREDRAFT_123974	ko:K17302
tre:TRIREDRAFT_123978	ko:K17066
tre:TRIREDRAFT_123979	ko:K19245
tre:TRIREDRAFT_123989	ko:K01225
tre:TRIREDRAFT_124001	ko:K01102
tre:TRIREDRAFT_124010	ko:K02872
tre:TRIREDRAFT_124016	ko:K07407
tre:TRIREDRAFT_124031	ko:K02728
tre:TRIREDRAFT_124043	ko:K01183
tre:TRIREDRAFT_124052	ko:K11251
tre:TRIREDRAFT_124094	ko:K17803
tre:TRIREDRAFT_124104	ko:K24810
tre:TRIREDRAFT_124110	ko:K02936
tre:TRIREDRAFT_124115	ko:K01610
tre:TRIREDRAFT_124117	ko:K03115
tre:TRIREDRAFT_124132	ko:K12200
tre:TRIREDRAFT_124148	ko:K00418
tre:TRIREDRAFT_124149	ko:K11129
tre:TRIREDRAFT_124158	ko:K20791
tre:TRIREDRAFT_124172	ko:K08818
tre:TRIREDRAFT_124174	ko:K10598
tre:TRIREDRAFT_124179	ko:K06655
tre:TRIREDRAFT_124181	ko:K27320
tre:TRIREDRAFT_124187	ko:K13989
tre:TRIREDRAFT_124195	ko:K22068
tre:TRIREDRAFT_124205	ko:K15201
tre:TRIREDRAFT_124206	ko:K02946
tre:TRIREDRAFT_124210	ko:K11253
tre:TRIREDRAFT_124222	ko:K08658
tre:TRIREDRAFT_124228	ko:K00698
tre:TRIREDRAFT_124234	ko:K17261
tre:TRIREDRAFT_124256	ko:K13333
tre:TRIREDRAFT_124285	ko:K11087
tre:TRIREDRAFT_124286	ko:K08064
tre:TRIREDRAFT_124301	ko:K08066
tre:TRIREDRAFT_124302	ko:K11233
tre:TRIREDRAFT_124304	ko:K02879
tre:TRIREDRAFT_124306	ko:K17808
tre:TRIREDRAFT_124314	ko:K02885
tre:TRIREDRAFT_124317	ko:K12619
tre:TRIREDRAFT_124319	ko:K01874
tre:TRIREDRAFT_124321	ko:K12815
tre:TRIREDRAFT_124322	ko:K23498
tre:TRIREDRAFT_124327	ko:K15378
tre:TRIREDRAFT_124330	ko:K17430
tre:TRIREDRAFT_124332	ko:K01885
tre:TRIREDRAFT_124333	ko:K15025
tre:TRIREDRAFT_124340	ko:K01768
tre:TRIREDRAFT_1692	ko:K02892
tre:TRIREDRAFT_1702	ko:K02331
tre:TRIREDRAFT_1847	ko:K15176
tre:TRIREDRAFT_1885	ko:K01178
tre:TRIREDRAFT_1912	ko:K25216
tre:TRIREDRAFT_1925	ko:K19703
tre:TRIREDRAFT_19432	ko:K07300
tre:TRIREDRAFT_1947	ko:K03872
tre:TRIREDRAFT_1949	ko:K23518
tre:TRIREDRAFT_1959	ko:K17623
tre:TRIREDRAFT_1983	ko:K07575
tre:TRIREDRAFT_1992	ko:K06950
tre:TRIREDRAFT_1993	ko:K00147
tre:TRIREDRAFT_2036	ko:K18123
tre:TRIREDRAFT_2050	ko:K03260
tre:TRIREDRAFT_2068	ko:K08158
tre:TRIREDRAFT_2087	ko:K12586
tre:TRIREDRAFT_2089	ko:K12780
tre:TRIREDRAFT_2091	ko:K00850
tre:TRIREDRAFT_2095	ko:K02327
tre:TRIREDRAFT_2108	ko:K23719
tre:TRIREDRAFT_21117	ko:K15042
tre:TRIREDRAFT_21120	ko:K01796
tre:TRIREDRAFT_21135	ko:K19717
tre:TRIREDRAFT_21152	ko:K15177
tre:TRIREDRAFT_21166	ko:K12662
tre:TRIREDRAFT_21168	ko:K08294
tre:TRIREDRAFT_21170	ko:K02951
tre:TRIREDRAFT_21174	ko:K15198
tre:TRIREDRAFT_21176	ko:K14770
tre:TRIREDRAFT_21181	ko:K09554
tre:TRIREDRAFT_21193	ko:K13354
tre:TRIREDRAFT_21198	ko:K14397
tre:TRIREDRAFT_21211	ko:K09413
tre:TRIREDRAFT_21214	ko:K21996
tre:TRIREDRAFT_21215	ko:K26244
tre:TRIREDRAFT_21221	ko:K20407
tre:TRIREDRAFT_21246	ko:K14016
tre:TRIREDRAFT_2125	ko:K19030
tre:TRIREDRAFT_21250	ko:K11338
tre:TRIREDRAFT_21256	ko:K01102
tre:TRIREDRAFT_21278	ko:K03538
tre:TRIREDRAFT_21288	ko:K12481
tre:TRIREDRAFT_21306	ko:K08827
tre:TRIREDRAFT_21324	ko:K03456
tre:TRIREDRAFT_21330	ko:K14400
tre:TRIREDRAFT_21342	ko:K23788
tre:TRIREDRAFT_21358	ko:K18724
tre:TRIREDRAFT_21363	ko:K03177
tre:TRIREDRAFT_21373	ko:K08838
tre:TRIREDRAFT_21388	ko:K14817
tre:TRIREDRAFT_21392	ko:K27384
tre:TRIREDRAFT_21398	ko:K22746
tre:TRIREDRAFT_21406	ko:K00927
tre:TRIREDRAFT_21425	ko:K12812
tre:TRIREDRAFT_21426	ko:K21197
tre:TRIREDRAFT_21435	ko:K00762
tre:TRIREDRAFT_21437	ko:K16569
tre:TRIREDRAFT_21441	ko:K13341
tre:TRIREDRAFT_21453	ko:K14806
tre:TRIREDRAFT_21460	ko:K08734
tre:TRIREDRAFT_21461	ko:K01338
tre:TRIREDRAFT_21498	ko:K26683
tre:TRIREDRAFT_21505	ko:K04630
tre:TRIREDRAFT_21534	ko:K11778
tre:TRIREDRAFT_21535	ko:K02137
tre:TRIREDRAFT_21542	ko:K11304
tre:TRIREDRAFT_21549	ko:K15323
tre:TRIREDRAFT_21553	ko:K18914
tre:TRIREDRAFT_21557	ko:K11649
tre:TRIREDRAFT_21564	ko:K03253
tre:TRIREDRAFT_21576	ko:K10967
tre:TRIREDRAFT_21588	ko:K17086
tre:TRIREDRAFT_21595	ko:K08157
tre:TRIREDRAFT_21606	ko:K03964
tre:TRIREDRAFT_21609	ko:K00411
tre:TRIREDRAFT_21618	ko:K12859
tre:TRIREDRAFT_21646	ko:K17095
tre:TRIREDRAFT_21653	ko:K10732
tre:TRIREDRAFT_21658	ko:K02934
tre:TRIREDRAFT_21659	ko:K01277
tre:TRIREDRAFT_21663	ko:K01240
tre:TRIREDRAFT_21673	ko:K02132
tre:TRIREDRAFT_21677	ko:K13174
tre:TRIREDRAFT_21716	ko:K00925
tre:TRIREDRAFT_21725	ko:K12373
tre:TRIREDRAFT_2173	ko:K18798
tre:TRIREDRAFT_21742	ko:K07375
tre:TRIREDRAFT_21743	ko:K08266
tre:TRIREDRAFT_21749	ko:K25817
tre:TRIREDRAFT_21752	ko:K12562
tre:TRIREDRAFT_21758	ko:K01637
tre:TRIREDRAFT_21773	ko:K09539
tre:TRIREDRAFT_21775	ko:K22531
tre:TRIREDRAFT_21782	ko:K06944
tre:TRIREDRAFT_21784	ko:K13206
tre:TRIREDRAFT_21836	ko:K01835
tre:TRIREDRAFT_21873	ko:K01687
tre:TRIREDRAFT_21890	ko:K02912
tre:TRIREDRAFT_21924	ko:K14306
tre:TRIREDRAFT_21937	ko:K09503
tre:TRIREDRAFT_21957	ko:K01958
tre:TRIREDRAFT_21960	ko:K01114
tre:TRIREDRAFT_21972	ko:K11099
tre:TRIREDRAFT_22004	ko:K19634
tre:TRIREDRAFT_22005	ko:K00728
tre:TRIREDRAFT_22050	ko:K17967
tre:TRIREDRAFT_22064	ko:K09510
tre:TRIREDRAFT_22072	ko:K01228
tre:TRIREDRAFT_22093	ko:K05955
tre:TRIREDRAFT_2211	ko:K17100
tre:TRIREDRAFT_22115	ko:K28005
tre:TRIREDRAFT_22117	ko:K11446
tre:TRIREDRAFT_22119	ko:K13025
tre:TRIREDRAFT_22143	ko:K11883
tre:TRIREDRAFT_22148	ko:K00654
tre:TRIREDRAFT_22154	ko:K22766
tre:TRIREDRAFT_22164	ko:K09523
tre:TRIREDRAFT_22191	ko:K09498
tre:TRIREDRAFT_22210	ko:K08637
tre:TRIREDRAFT_22221	ko:K03126
tre:TRIREDRAFT_2223	ko:K01899
tre:TRIREDRAFT_22245	ko:K22723
tre:TRIREDRAFT_22251	ko:K28106
tre:TRIREDRAFT_22252	ko:K01230
tre:TRIREDRAFT_22264	ko:K14782
tre:TRIREDRAFT_22277	ko:K23503
tre:TRIREDRAFT_22287	ko:K15542
tre:TRIREDRAFT_22294	ko:K24983
tre:TRIREDRAFT_22300	ko:K02146
tre:TRIREDRAFT_22314	ko:K16938
tre:TRIREDRAFT_22332	ko:K11097
tre:TRIREDRAFT_22341	ko:K16732
tre:TRIREDRAFT_22351	ko:K10080
tre:TRIREDRAFT_22375	ko:K21544
tre:TRIREDRAFT_22381	ko:K23785
tre:TRIREDRAFT_22402	ko:K22685
tre:TRIREDRAFT_2241	ko:K23612
tre:TRIREDRAFT_22415	ko:K01792
tre:TRIREDRAFT_22464	ko:K14338
tre:TRIREDRAFT_22466	ko:K17086
tre:TRIREDRAFT_22472	ko:K11092
tre:TRIREDRAFT_22481	ko:K00101
tre:TRIREDRAFT_22489	ko:K03521
tre:TRIREDRAFT_22492	ko:K14967
tre:TRIREDRAFT_22496	ko:K03021
tre:TRIREDRAFT_22515	ko:K15442
tre:TRIREDRAFT_22527	ko:K00728
tre:TRIREDRAFT_22531	ko:K18467
tre:TRIREDRAFT_22532	ko:K21452
tre:TRIREDRAFT_22538	ko:K20179
tre:TRIREDRAFT_22560	ko:K14001
tre:TRIREDRAFT_22563	ko:K13342
tre:TRIREDRAFT_22598	ko:K13217
tre:TRIREDRAFT_22608	ko:K15040
tre:TRIREDRAFT_22611	ko:K14561
tre:TRIREDRAFT_22618	ko:K11888
tre:TRIREDRAFT_22632	ko:K17450
tre:TRIREDRAFT_22633	ko:K00121
tre:TRIREDRAFT_22637	ko:K10570
tre:TRIREDRAFT_22645	ko:K03355
tre:TRIREDRAFT_22647	ko:K13110
tre:TRIREDRAFT_22660	ko:K12864
tre:TRIREDRAFT_22667	ko:K14827
tre:TRIREDRAFT_22689	ko:K14843
tre:TRIREDRAFT_2269	ko:K06674
tre:TRIREDRAFT_22705	ko:K01427
tre:TRIREDRAFT_22707	ko:K00237
tre:TRIREDRAFT_22712	ko:K26403
tre:TRIREDRAFT_22713	ko:K12852
tre:TRIREDRAFT_22718	ko:K00683
tre:TRIREDRAFT_22731	ko:K08334
tre:TRIREDRAFT_22737	ko:K02140
tre:TRIREDRAFT_22741	ko:K00135
tre:TRIREDRAFT_22771	ko:K25879
tre:TRIREDRAFT_22783	ko:K15165
tre:TRIREDRAFT_22798	ko:K01597
tre:TRIREDRAFT_22799	ko:K01952
tre:TRIREDRAFT_22804	ko:K01886
tre:TRIREDRAFT_22816	ko:K03936
tre:TRIREDRAFT_22826	ko:K00948
tre:TRIREDRAFT_22830	ko:K00799
tre:TRIREDRAFT_22839	ko:K06158
tre:TRIREDRAFT_22863	ko:K20521
tre:TRIREDRAFT_22874	ko:K16945
tre:TRIREDRAFT_22879	ko:K01078
tre:TRIREDRAFT_22881	ko:K10747
tre:TRIREDRAFT_22885	ko:K07555
tre:TRIREDRAFT_22891	ko:K10580
tre:TRIREDRAFT_22910	ko:K01899
tre:TRIREDRAFT_22911	ko:K12603
tre:TRIREDRAFT_22914	ko:K22832
tre:TRIREDRAFT_22945	ko:K00761
tre:TRIREDRAFT_22994	ko:K13525
tre:TRIREDRAFT_23001	ko:K20288
tre:TRIREDRAFT_23028	ko:K21864
tre:TRIREDRAFT_23034	ko:K08272
tre:TRIREDRAFT_23050	ko:K12620
tre:TRIREDRAFT_23059	ko:K02898
tre:TRIREDRAFT_23063	ko:K12193
tre:TRIREDRAFT_23118	ko:K12855
tre:TRIREDRAFT_23152	ko:K14617
tre:TRIREDRAFT_23154	ko:K23358
tre:TRIREDRAFT_2316	ko:K17991
tre:TRIREDRAFT_23181	ko:K12879
tre:TRIREDRAFT_23184	ko:K05824
tre:TRIREDRAFT_23190	ko:K14399
